Version,Build,SHA-256,SHA-1
10.10.2,14C109,1652d5bd574fd79eda00c19f71187bbf78a01fe22cbcf1443c066524d5f29f0c,059f2603a91465bcee24c864d446da30df920f85
10.10.5,14F27,24c4934d91401dd2f738c7811d35ae16d3d7993586592a64b9baf625fe0427db,ef5cc8851b893dbe4bc9a5cf5c648c10450af6bc
10.10.5,14F27,6a2d563b89d4c2733e8ff087c16db0caaa6594375ac835b3110df4306edb2459,0e063fd87d5b0a4f68dbd35da95b2018748f88eb
10.11,15A284,d20002ec8328784d65274eb49663b24a48be95dc06c6623ec67c9f28a7481352,5e21097f2e98417ecc12574a7bb46a402594ea4a
10.11.1,15B42,6275929722c35674fce90d2272d383d49696096e8626ee7f7900dd0334167a9a,306a080c07e293b6765ba950bab213572704acec
10.11.2,15C50,8e81dc547f07bc92408d5269983c64cf6ab2206e4d9a1cd94eb6e9003279921b,2b11b8b618a2e5100507c3c432363081db65c4c8
10.11.3,15D21,bc46b9b02e69546e1446e131d4a8d3b0203a6bbad73a003749571da85f51a613,e4311d93127d0668372b32e5342f3b455b6bc9bd
10.11.4,15E65,532830b2a04b6f496b1cc1b18cc1645d1cda34151c212b68133f41c19d1431ed,f6292573395b46e8110be6077fd4827409bc948b
10.11.5,15F34,8be0c4144d79dc0ef275d6bea60db4d23ccf83b22b6c22a99ff35261862b0758,850781fe8cb5d88c5d1bc23e704e6686ff1fcc2f
10.11.6,15G31,0b8156957236865e170bc7784bf067ba8b5b231ad8ce45790865e16c9c653615,7739e3f62080000da5d28efa689c53976112a262
10.12,16A323,78a2701bb63a0dcb30862314d1a4598522cfe6a2dd2b096a4e30f256909a4446,139ef35e4af0da8286b2a3af326cb114d774f606
10.12.1,16B2657,8608c0cebf689431ad35d37bcb0035aac266c78f95e7e2a3fd8104d153a24e9b,e559e142a4c9ebaaa740c575d5c3c23c6eb3fb06
10.12.1,16B2659,8efa85e12bcc6c2145cce68b6ecaf9ce23e11f58c1452982b1907fe0f9f76fd1,f7f147c54627c2a9beb1fa318394e1579b30b167
10.12.2,16C67,6c2b16f248407a3853a9c4a63efadc94813321708f5eed5c09b73f33e5edd855,1432e3be6222c434b536721076ed8b16b1c6050e
10.12.2,16C68,6e8ccda1849bb49b1acf75f455019fe327adb47c676dbff018ea811c2456dcce,94f9e8f7ae2540dee6fe3465f60fc037e2547d16
10.12.3,16D32,75a288fe6efc0591f757baf08305270f1b843b54cfb66fe6b257049400a0d6e9,77d354ec06df0d0acc37c105ae524ba96948142b
10.12.4,16E195,30319aeae18c3277919c59fe678201553f5a11022d6966b67a43422996391181,30b9245f7c7608c40bbdf4d4a74f3ab84dbac716
