Label,Comment
com.apple.postgres,Legacy or server app
com.apple.bootpd,DHCP/BOOTP/NetBoot server
com.apple.afpfs_afpLoad,
com.apple.afpfs_checkafp,
com.apple.airplaydiagnostics.server.mac,Apple Internal Diagnostic Tool
com.apple.AirPlayXPCHelper,
com.apple.airport.wps,
com.apple.airportd,
com.apple.akd,
com.apple.alf,Apple Application Firewall
com.apple.AppleFileServer,Apple File Server (AFP)
com.apple.appleseed.fbahelperd,
com.apple.applessdstatistics,
com.apple.apsd,Apple Push Notification service daemon
com.apple.aslmanager,Manages rotated files and ASL data written by the syslogd server
com.apple.AssetCacheLocatorService,
com.apple.atrun,
com.apple.audio.coreaudiod,daemon used for Core Audio related purposes
com.apple.audio.systemsoundserverd,
com.apple.auditd,
com.apple.autofsd,
com.apple.automountd,
com.apple.avbdeviced,
com.apple.awacsd,
com.apple.awdd,
com.apple.backupd-auto,
com.apple.backupd,
com.apple.blued,
com.apple.bluetoothaudiod,
com.apple.bluetoothReporter,
com.apple.bnepd,
com.apple.bsd.dirhelper,
com.apple.cache_delete,
com.apple.cfprefsd.xpc.daemon,
com.apple.cloudfamilyrestrictionsd,
com.apple.cmio.AppleCameraAssistant,
com.apple.cmio.AVCAssistant,
com.apple.cmio.IIDCVideoAssistant,
com.apple.cmio.iOSScreenCaptureAssistant,
com.apple.cmio.VDCAssistant,
com.apple.colorsyncd,
com.apple.CommCenterRootHelper,
com.apple.comsat,
com.apple.configd,
com.apple.configureLocalKDC,
com.apple.corecaptured,
com.apple.coreduetd,
com.apple.CoreRAID,
com.apple.coreservices.appleevents,
com.apple.coreservices.appleid.passwordcheck,
com.apple.coreservices.launchservicesd,
com.apple.coreservices.sharedfilelistd,
com.apple.coreservicesd,
com.apple.corestorage.corestoraged,
com.apple.corestorage.corestoragehelperd,
com.apple.coresymbolicationd,
com.apple.CrashReporterSupportHelper,
com.apple.csrutil.report,
com.apple.ctkd,
com.apple.cvmsServ,
com.apple.DesktopServicesHelper,
com.apple.diagnostic.uuidpathd,
com.apple.diagnosticd,
com.apple.diskarbitrationd,
com.apple.diskmanagementd,
com.apple.diskmanagementstartup,
com.apple.displaypolicyd,
com.apple.distnoted.xpc.daemon,
com.apple.dnsextd,
com.apple.dpaudiothru,
com.apple.dpd,
com.apple.dspluginhelperd,
com.apple.DumpGPURestart,
com.apple.DumpPanic,
com.apple.dvdplayback.setregion,
com.apple.dynamic_pager,
com.apple.eapolcfg_auth,
com.apple.efax,
com.apple.efilogin-helper,
com.apple.emlog,
com.apple.emond.aslmanager,
com.apple.emond,
com.apple.AEServer,
com.apple.familycontrols,
com.apple.FileCoordination,
com.apple.FileSyncAgent.sshd,
com.apple.findmymacd,
com.apple.findmymacmessenger,iCloud Find My Mac feature daemon
com.apple.firmwaresyncd,
com.apple.fontd,
com.apple.fontmover,
com.apple.FontWorker,
com.apple.fseventsd,
com.apple.ftp-proxy,
com.apple.GameController.gamecontrollerd,
com.apple.getty,
com.apple.gkreport,
com.apple.GSSCred,
com.apple.gssd,
com.apple.hdiejectd,
com.apple.hidd,
com.apple.icloud.findmydeviced,
com.apple.iconservices.iconservicesagent,
com.apple.iconservices.iconservicesd,
com.apple.IFCStart,
com.apple.ifdreader,
com.apple.installandsetup.systemmigrationd,
com.apple.installd,
com.apple.IOAccelMemoryInfoCollector,
com.apple.IOBluetoothUSBDFU,
com.apple.kcproxy,
com.apple.kdumpd,
com.apple.Kerberos.digest-service,
com.apple.Kerberos.kadmind,
com.apple.Kerberos.kcm,
com.apple.Kerberos.kdc,
com.apple.Kerberos.kpasswdd,
com.apple.KernelEventAgent,Responsible for displaying disk full and unresponsive file server messages
com.apple.kextd,
com.apple.kuncd,
com.apple.locate,
com.apple.locationd,Location daemon
com.apple.lockd,
com.apple.logd,
com.apple.logind,
com.apple.loginwindow.LFVTracer,
com.apple.loginwindow,
com.apple.logkextloadsd,
com.apple.lsd,
com.apple.ManagedClient.cloudconfigurationd,
com.apple.ManagedClient.enroll,
com.apple.ManagedClient,
com.apple.ManagedClient.startup,
com.apple.mbsystemadministration,
com.apple.mbusertrampoline,
com.apple.mdmclient.daemon,
com.apple.mdmclient.daemon.runatboot,
com.apple.mDNSResponder.reloaded,
com.apple.mDNSResponderHelper.reloaded,
com.apple.metadata.mds.index,
com.apple.metadata.mds,
com.apple.metadata.mds.scan,
com.apple.metadata.mds.spindump,
com.apple.MobileFileIntegrity,
com.apple.MRTd,
com.apple.msrpc.echosvc,
com.apple.msrpc.lsarpc,
com.apple.msrpc.mdssvc,
com.apple.msrpc.netlogon,
com.apple.msrpc.srvsvc,
com.apple.msrpc.wkssvc,
com.apple.mtmd,
com.apple.mtmfs,
com.apple.nehelper,
com.apple.nesessionmanager,
com.apple.netauth.sys.auth,
com.apple.netauth.sys.gui,
com.apple.netbiosd,netbiosd is responsible for interacting with NetBIOS networks.
com.apple.NetBootClientStatus,
com.apple.networkd,network daemon
com.apple.networkd_privileged,
com.apple.NetworkDiagnostics,
com.apple.nlcd,
com.apple.NetworkSharing,
com.apple.newsyslog,
com.apple.nfsconf,
com.apple.nfsd,
com.apple.nis.ypbind,
com.apple.noticeboard.state,
com.apple.notifyd,
com.apple.nsurlsessiond_privileged,
com.apple.nsurlstoraged,
com.apple.ocspd,"Performs caching and network fetching of CRLs and OCSP responses, used by Security.framework during certificate verification"
com.apple.odproxyd,
com.apple.ODSAgent,
com.apple.opendirectoryd,
com.apple.PasswordService,
com.apple.PCIELaneConfigTool,
com.apple.periodic-daily,
com.apple.periodic-monthly,
com.apple.periodic-weekly,
com.apple.pfctl,
com.apple.pfd,
com.apple.platform.ptmd,
com.apple.powerd,
com.apple.powerd.swd,
com.apple.preferences.timezone.admintool,
com.apple.preferences.timezone.auto,
com.apple.printtool.daemon,
com.apple.racoon,Built-in VPN key management daemon
com.apple.RemoteDesktop.PrivilegeProxy,
com.apple.RemotePairTool,
com.apple.ReportCrash.Root,
com.apple.ReportPanicService,
com.apple.revisiond,
com.apple.RFBEventHelper,
com.apple.rootless.init,
com.apple.rpcbind,
com.apple.sandboxd,
com.apple.SCHelper,
com.apple.screensharing,
com.apple.scsid,
com.apple.secinitd,
com.apple.security.agent.login,
com.apple.security.authhost,
com.apple.security.FDERecoveryAgent,
com.apple.security.syspolicy,
com.apple.securityd,
com.apple.securityd_service,
com.apple.sessionlogoutd,
com.apple.smb.preferences,
com.apple.smbd,
com.apple.softwareupdate_download_service,
com.apple.softwareupdatecheck.initial,
com.apple.softwareupdated,
com.apple.speech.speechsynthesisd,
com.apple.spindump,
com.apple.statd.notify,
com.apple.storagekitd,
com.apple.storeaccountd.daemon,
com.apple.storeagent.daemon,
com.apple.storeassetd.daemon,
com.apple.storedownloadd.daemon,
com.apple.storereceiptinstaller,
com.apple.SubmitDiagInfo,Sends diagnostic information to Apple
com.apple.suhelperd,
com.apple.symptomsd,
com.apple.sysdiagnose,
com.apple.syslogd,
com.apple.sysmond,
com.apple.system_installd,
com.apple.systemkeychain,
com.apple.systempreferences.install,
com.apple.systemstats.analysis,
com.apple.systemstats.daily,
com.apple.systemstatsd,
com.apple.taskgated-helper,
com.apple.taskgated,
com.apple.tccd.system,
com.apple.thermald,Thermal management daemon
com.apple.TMCacheDelete,
com.apple.trustd,
com.apple.TrustEvaluationAgent.system,
com.apple.ucupdate.plist,
com.apple.uninstalld,
com.apple.unmountassistant.sysagent,
com.apple.updateEFIDesktopPicture,
com.apple.usbd,
com.apple.usbmuxd,
com.apple.UserEventAgent-System,
com.apple.UserNotificationCenter,
com.apple.uucp,
com.apple.var-db-dslocal-backup,
com.apple.vsdbutil,
com.apple.warmd,
com.apple.watchdogd,
com.apple.wdhelper,
com.apple.wifid,
com.apple.WindowServer,
com.apple.wirelessproxd,
com.apple.WirelessRadioManagerd-osx,
com.apple.wwand,
com.apple.xpc.smd,
com.apple.xpc.uscwoap,
com.apple.xsan,
com.apple.xsandaily,
com.apple.xscertadmin,
com.apple.xscertd-helper,
com.apple.xscertd,
com.vix.cron,
com.apple.rexecd,
com.apple.fingerd,
com.apple.ftpd,
com.apple.rlogind,
com.apple.ntalkd,
org.apache.httpd,
org.cups.cups-lpd,
org.cups.cupsd,
org.net-snmp.snmpd,
org.ntp.ntpd,Wrapper for ntpdate/ntpd called by launchd
org.openldap.slapd,Slapd is the stand-alone LDAP daemon.
org.postfix.master,
org.postfix.newaliases,
com.apple.rshd,Remote shell server
com.openssh.sshd,Wrapper for OpenSSH SSH daemon called by launchd
com.apple.telnetd,
com.apple.tftpd,TFTP server daemon
com.apple.accountsd,
com.apple.AddressBook.abd,
com.apple.AddressBook.AssistantService,
com.apple.AddressBook.SourceSync,
com.apple.AirPlayUIAgent,
com.apple.AirPortBaseStationAgent,
com.apple.akd,
com.apple.alf.useragent,Apple Application Firewall (User Process)
com.apple.aos.migrate,
com.apple.AOSHeartbeat,
com.apple.AOSPushRelay,
com.apple.AppleGraphicsWarning,
com.apple.appleseed.seedusaged,
com.apple.appsleep,
com.apple.appstoreupdateagent,
com.apple.apsctl,
com.apple.askpermissiond,
com.apple.AskPermissionUI,
com.apple.AssetCacheLocatorService,
com.apple.assistant_service,
com.apple.assistantd,
com.apple.AssistiveControl,
com.apple.BezelUIServer,
com.apple.bird,Documents in the Cloud feature daemon
com.apple.bluetoothUIServer,
com.apple.btsa,
com.apple.CalendarAgent,
com.apple.CallHistoryPluginHelper,
com.apple.CallHistorySyncHelper,
com.apple.cdpd,
com.apple.cfnetwork.AuthBrokerAgent,
com.apple.cfnetwork.cfnetworkagent,
com.apple.cfprefsd.xpc.agent,
com.apple.cloudd,
com.apple.cloudfamilyrestrictionsd,
com.apple.cloudpaird,
com.apple.cloudphotosd,
com.apple.cmfsyncagent,
com.apple.CommCenter,
com.apple.ContainerRepairAgent,
com.apple.CoreAuthentication.daemon,
com.apple.coredata.externalrecordswriter,
com.apple.CoreLocationAgent,
com.apple.CoreRAIDAgent,
com.apple.coreservices.appleid.authentication,
com.apple.coreservices.useractivityd,
com.apple.coreservices.sharedfilelistd,
com.apple.coreservices.uiagent,
com.apple.csuseragent,
com.apple.ctkd,
com.apple.cvmsCompAgent3600_i386,
com.apple.cvmsCompAgent3600_i386_1,
com.apple.cvmsCompAgent3600_x86_64,
com.apple.cvmsCompAgent3600_x86_64_1,
com.apple.cvmsCompAgent_i386,
com.apple.cvmsCompAgent_i386_1,
com.apple.cvmsCompAgent_x86_64,
com.apple.cvmsCompAgent_x86_64_1,
com.apple.cvmsCompAgentLegacy_i386,
com.apple.cvmsCompAgentLegacy_i386_1,
com.apple.cvmsCompAgentLegacy_x86_64,
com.apple.cvmsCompAgentLegacy_x86_64_1,
com.apple.DiagnosticReportCleanup.plist,
com.apple.diagnostics_agent,
com.apple.DictationIM,
com.apple.DiskArbitrationAgent,
com.apple.distnoted.xpc.agent,
com.apple.Dock.agent,
com.apple.dt.CommandLineTools.installondemand,
com.apple.EscrowSecurityAlert,
com.apple.familycircled,
com.apple.familycontrols.useragent,
com.apple.familynotificationd,
com.apple.FileStatsAgent,
com.apple.FileSyncAgent.PHD,
com.apple.FilesystemUI,
com.apple.Finder,Finder
com.apple.findmymacmessenger,iCloud Find My Mac feature daemon
com.apple.FolderActionsDispatcher,
com.apple.followupd,
com.apple.FollowUpUI,
com.apple.fontd,
com.apple.FontRegistryUIAgent,
com.apple.ATS.FontValidator,
com.apple.ATS.FontValidatorConduit,
